StudyHours,SleepHours,Attendance(%),Age,ExamScore
5.53,4.32,61,23,57.44
2.89,8.94,87,21,63.42
0.76,4.67,74,15,35.2
1.07,7.26,51,19,45.95
4.07,7.46,64,18,54.85
5.1,6.24,68,23,63.74
3.96,5.36,60,17,58.7
3.97,7.2,60,17,55.02
1.38,7.93,89,22,65.39
3.19,5.99,100,20,68.84
2.34,6.14,100,24,65.59
2.61,5.29,54,22,38.3
2.78,4.55,55,22,42.42
1.68,6.77,91,17,63.41
4.5,5.9,55,19,62.92
0.98,8.0,61,20,56.82
0.4,8.01,57,17,35.69
1.43,7.9,70,17,47.62
4.77,5.93,59,18,58.0
3.68,8.43,90,18,68.46
0.0,5.56,72,18,39.97
4.19,8.23,100,17,71.58
2.9,7.74,65,18,47.17
2.17,8.03,74,16,63.69
2.52,4.9,82,19,48.3
0.33,8.87,55,20,46.04
3.35,7.25,86,21,68.11
0.46,6.96,53,17,36.83
2.3,5.57,69,24,50.67
2.3,6.11,79,22,55.3
4.54,6.69,58,19,60.62
3.08,6.69,71,23,57.17
4.41,9.5,97,23,79.71
0.61,6.9,87,24,51.46
2.78,6.54,83,24,64.51
4.06,6.65,88,20,70.57
5.48,7.58,50,19,58.1
0.72,7.35,97,15,61.56
1.32,5.43,50,18,31.11
4.01,9.77,70,19,61.29
6.22,6.64,57,17,61.53
3.57,5.02,71,24,60.16
0.78,6.03,76,23,47.4
0.82,6.94,57,16,29.29
3.27,9.5,85,19,64.2
3.72,6.63,80,23,70.43
2.56,5.73,69,19,56.54
0.84,6.49,87,19,45.41
5.2,6.81,89,24,69.41
2.3,6.78,56,22,43.12
4.05,4.36,70,24,55.38
0.0,5.5,69,17,33.35
5.4,8.22,68,15,70.04
1.63,7.59,90,16,59.82
5.69,7.52,50,18,67.44
4.23,6.1,66,21,63.53
0.14,4.75,66,18,33.07
3.49,7.14,67,18,61.22
6.31,7.62,100,24,79.36
1.8,9.74,56,23,50.39
6.32,5.75,60,23,68.26
3.77,7.97,56,19,55.57
5.68,7.85,98,16,80.72
3.32,4.23,79,24,51.64
2.75,7.47,89,20,68.82
6.67,5.7,86,22,84.94
4.44,7.85,62,23,60.04
2.53,8.11,77,23,59.08
3.85,6.0,73,20,61.82
1.87,7.61,74,18,50.74
3.22,9.81,78,15,67.71
5.39,7.5,79,19,70.14
2.68,6.52,89,24,61.73
1.25,7.31,93,22,53.97
1.07,6.15,97,16,53.98
3.15,5.73,93,16,60.69
1.38,8.5,94,15,64.35
0.13,6.74,57,15,39.21
0.6,7.94,65,16,46.55
5.35,6.27,77,20,73.7
2.72,8.36,98,15,68.45
3.12,7.85,93,22,66.89
1.07,9.6,69,22,54.47
1.84,7.32,86,19,56.12
1.77,6.97,88,19,60.65
2.45,6.47,59,19,46.91
0.0,7.42,98,16,64.22
5.18,6.96,80,21,70.22
2.97,7.65,84,18,66.33
3.4,5.71,87,17,59.88
4.83,7.46,71,18,65.13
4.68,6.98,57,19,56.23
1.85,7.47,56,22,42.89
4.21,4.22,72,21,60.94
4.19,6.45,58,20,55.67
3.63,9.05,81,21,67.83
5.12,6.12,67,23,65.17
4.6,6.6,64,18,67.17
4.45,6.27,86,21,73.38
5.73,5.15,91,16,82.85
3.06,5.83,73,19,52.29
3.12,6.19,74,24,60.88
4.64,7.91,77,20,64.02
2.64,6.65,50,16,47.97
3.96,8.29,82,23,78.6
1.88,7.26,97,19,64.35
0.0,5.87,94,23,53.65
4.2,4.0,57,22,54.11
0.0,9.67,80,20,50.7
1.6,7.84,89,23,58.07
4.64,5.98,77,15,73.54
4.66,8.99,84,21,78.03
5.35,7.12,87,17,72.66
0.0,6.81,60,20,40.68
3.59,10.0,58,15,65.6
2.48,7.83,59,15,55.14
4.98,9.18,61,20,63.01
5.95,9.15,79,18,79.64
0.38,6.41,76,24,41.12
3.03,6.0,67,24,43.71
4.67,8.45,71,15,79.56
2.32,8.3,77,20,52.08
6.49,7.36,89,17,79.21
2.2,7.73,79,24,56.75
2.4,6.56,91,21,64.28
0.85,6.16,75,15,43.98
3.31,5.93,89,20,59.06
0.0,9.07,82,15,54.08
2.5,10.0,91,18,67.98
5.54,6.53,87,17,71.01
0.21,7.68,70,20,42.2
0.0,7.14,51,17,32.34
5.23,7.77,91,17,71.71
5.5,6.1,64,23,58.66
0.29,6.97,65,15,38.65
6.47,5.67,65,22,70.69
3.86,6.91,55,21,56.68
5.1,7.48,72,16,77.59
1.42,9.68,99,18,57.3
5.98,6.18,58,20,63.33
2.46,7.73,86,19,60.44
2.38,9.97,69,16,62.7
3.96,7.01,69,15,59.56
2.22,4.0,61,17,39.66
0.0,4.64,57,17,24.83
3.26,7.4,67,22,57.42
2.36,6.54,65,23,51.97
1.46,6.22,67,22,43.97
5.48,10.0,56,20,67.3
7.78,7.42,70,24,77.91
1.16,7.73,72,22,50.14
3.39,7.89,58,24,50.76
2.2,6.15,59,24,46.33
7.58,7.73,99,20,97.98
3.98,5.77,63,16,62.93
4.85,7.01,52,22,59.45
5.36,6.41,71,20,64.9
3.26,5.13,50,16,41.12
2.63,6.6,81,20,59.75
6.04,6.66,90,24,81.84
4.56,6.02,57,16,58.65
1.31,6.95,70,22,50.11
1.55,4.88,100,17,61.39
2.22,4.0,56,22,36.5
5.32,4.0,76,20,70.34
5.95,6.78,93,18,85.83
7.3,7.74,61,22,76.15
1.58,7.35,93,15,56.63
3.28,8.7,95,22,76.49
2.2,7.67,78,15,62.55
2.64,6.45,82,15,63.97
4.86,6.11,89,15,76.15
2.91,8.95,74,18,59.92
5.63,10.0,77,18,67.88
1.97,7.4,73,21,49.69
4.48,8.01,58,22,65.87
2.11,5.16,50,15,42.15
0.0,4.58,98,21,37.59
0.96,9.08,81,15,52.79
3.25,4.65,94,19,61.59
6.84,8.19,99,16,89.23
2.08,9.87,88,22,64.93
2.66,9.44,73,19,56.93
3.98,6.7,60,18,59.47
1.8,6.39,63,15,41.38
2.03,7.32,87,22,58.5
3.14,5.35,50,17,50.69
2.13,6.85,70,22,54.14
0.0,8.59,59,21,37.1
1.7,10.0,94,17,66.0
4.23,8.75,79,16,72.33
4.29,8.73,68,21,55.62
5.67,9.21,83,22,93.12
5.51,4.0,68,23,67.0
1.2,7.16,80,24,49.66
1.51,4.74,98,20,61.34
1.6,5.37,75,15,42.73
2.7,6.75,72,15,51.61
1.75,9.27,75,17,53.23
2.65,6.53,97,18,61.75
1.26,6.14,51,19,44.16
4.57,6.82,79,22,67.99
1.1,6.93,58,24,40.97
1.0,4.69,54,19,36.86
4.04,8.82,62,22,51.99
4.44,6.73,60,18,64.0
2.55,5.75,79,19,51.65
4.74,8.34,67,15,56.63
4.59,5.52,84,20,64.25
6.8,8.05,51,16,64.54
4.47,7.03,59,22,65.48
6.41,4.74,74,19,74.71
3.12,7.86,64,23,52.6
5.8,4.74,69,22,70.51
5.84,6.77,59,15,66.58
2.71,4.8,73,17,56.31
1.62,8.17,68,21,58.49
1.97,5.7,99,24,69.88
3.83,6.99,50,15,47.26
0.7,8.3,84,16,48.31
2.09,5.11,68,18,52.34
5.39,5.61,88,24,65.65
4.33,5.15,51,22,57.36
0.0,5.34,85,21,46.51
0.33,8.75,84,18,48.17
7.32,7.11,85,21,70.12
5.36,6.37,79,17,67.01
1.83,5.33,79,15,47.32
0.02,6.3,85,17,43.0
0.5,6.41,69,22,49.39
4.02,5.72,91,18,64.54
6.95,7.55,98,19,92.34
6.83,5.64,72,17,75.27
0.0,4.86,60,23,31.51
2.41,5.13,84,20,63.65
1.29,6.25,56,18,46.33
3.27,9.02,69,16,59.96
0.34,9.17,68,16,41.69
1.91,4.76,90,19,53.73
1.27,5.57,73,19,48.27
4.05,4.0,92,16,56.39
1.97,6.71,72,15,53.22
2.26,5.93,78,16,48.46
4.02,7.39,98,21,73.34
6.29,5.61,74,18,69.02
7.23,8.36,78,15,65.16
3.91,7.58,71,21,63.87
2.82,6.69,53,19,51.28
5.63,5.7,100,15,82.78
5.33,10.0,95,15,85.81
4.76,6.98,83,23,71.49
0.0,6.54,51,18,34.36
5.42,7.34,54,22,65.45
3.72,4.06,88,24,64.1
1.21,5.96,89,22,59.81
1.66,8.01,74,18,52.62
4.16,8.25,94,20,76.58
0.0,7.76,50,22,37.71
2.75,4.0,50,20,47.0
1.69,6.72,56,18,44.39
1.49,5.68,66,21,48.71
2.09,7.69,60,18,47.82
0.04,7.22,79,17,41.52
5.1,8.19,95,23,70.15
0.0,6.44,51,23,29.96
3.34,7.12,81,22,55.94
1.3,9.16,76,23,55.68
6.97,9.31,75,17,88.48
3.05,8.48,71,22,59.37
0.0,4.35,86,24,38.92
4.09,6.31,100,24,76.28
0.81,8.98,55,18,41.86
4.97,6.94,50,15,64.45
4.24,5.95,76,21,61.96
5.95,7.23,63,24,77.81
3.37,6.06,88,17,65.6
4.64,7.23,90,18,71.05
3.09,7.24,90,24,71.72
1.82,6.13,82,21,54.65
5.13,7.31,52,16,49.99
0.54,6.31,77,20,40.7
2.93,6.25,100,18,63.89
1.86,7.45,86,24,51.79
4.68,7.9,71,19,70.49
1.11,7.06,55,18,36.36
2.18,5.38,58,17,48.07
3.09,5.58,98,15,62.88
5.98,8.94,50,20,63.85
1.93,6.66,72,17,50.44
2.2,5.98,65,20,53.4
0.3,9.96,64,21,49.3
1.03,8.97,70,23,50.59
3.83,8.61,93,20,73.01
3.06,7.01,50,22,50.59
3.1,6.65,63,17,55.78
6.48,6.67,66,19,63.68
0.0,6.52,86,18,47.23
7.64,7.67,80,24,86.54
5.36,8.29,80,16,78.13
2.35,4.0,74,23,47.05
3.78,5.62,85,18,59.94
1.63,6.07,52,16,44.25
3.64,4.46,81,21,47.34
7.3,7.31,65,21,79.68
1.71,5.22,86,18,46.33
2.54,8.78,80,20,59.79
1.49,6.78,83,19,57.06
1.81,7.15,62,17,44.36
2.19,8.19,54,16,46.72
0.81,7.46,91,23,51.66
2.47,7.16,57,16,44.92
3.11,6.44,84,23,59.84
2.19,6.69,67,16,55.6
0.0,5.94,60,24,35.54
2.69,8.38,72,15,66.12
2.91,7.76,60,23,56.93
6.8,10.0,62,17,80.78
3.05,7.78,88,18,74.21
4.87,7.25,78,22,80.62
2.15,7.41,70,22,57.92
5.6,5.96,85,24,71.62
1.11,8.8,87,19,59.06
4.01,6.76,56,18,51.39
4.68,4.0,91,19,65.09
4.39,4.94,91,23,71.24
7.33,6.74,89,24,86.25
1.83,4.73,96,15,45.66
5.83,5.52,92,18,83.38
5.31,8.18,68,17,65.56
3.1,8.28,76,21,60.73
6.68,7.94,64,23,72.06
2.71,8.17,75,19,67.92
3.04,7.97,86,18,67.0
2.99,8.12,86,15,65.92
0.45,7.57,55,21,36.58
4.52,7.87,93,17,74.02
4.21,9.46,64,20,66.59
2.79,6.64,88,17,59.56
6.53,10.0,97,16,92.98
2.13,6.46,67,15,52.98
0.0,6.28,94,23,53.38
6.8,7.46,67,16,78.69
5.02,6.38,81,18,71.99
4.25,4.0,82,23,68.16
2.32,5.65,90,18,56.47
3.68,6.11,99,23,83.74
0.48,6.4,57,22,44.73
2.55,4.34,61,21,55.79
1.19,5.92,71,17,50.02
3.52,6.06,83,23,65.61
4.85,5.9,88,22,66.64
0.9,6.45,66,16,47.58
4.45,8.25,67,17,63.69
3.4,8.37,66,23,62.01
4.37,7.38,76,21,63.29
2.52,8.57,63,20,53.74
4.41,7.08,55,15,59.35
1.61,8.69,73,23,58.92
0.0,7.58,60,22,39.12
0.09,5.99,52,23,38.54
1.99,6.05,77,23,45.48
0.0,7.84,62,20,53.13
6.1,8.14,84,22,74.89
2.83,5.49,52,21,46.22
4.84,10.0,93,24,71.04
4.57,8.36,57,15,61.3
3.01,6.38,67,24,51.81
10.07,5.47,90,21,91.11
8.86,4.72,87,17,93.64
5.78,9.08,55,23,66.9
1.19,8.22,53,17,46.88
5.87,7.06,81,23,74.23
0.0,7.53,67,15,53.94
5.79,4.0,62,19,62.79
0.0,4.0,58,22,28.69
2.36,7.72,50,21,42.13
5.42,7.39,63,18,66.06
3.77,7.21,78,20,66.41
0.04,9.3,56,23,42.12
3.34,8.07,87,23,64.14
3.77,6.25,63,19,54.4
3.41,6.26,81,17,61.53
2.19,7.88,100,23,67.38
4.71,7.82,74,23,65.75
5.29,9.8,94,15,90.98
2.69,5.93,98,22,55.13
6.04,5.56,92,16,83.51
2.69,7.24,63,15,58.82
2.02,7.07,91,21,59.96
5.71,8.72,75,24,71.57
5.64,7.22,72,18,68.64
1.76,7.67,98,16,60.43
1.47,4.4,92,18,44.83
6.53,8.9,70,23,80.53
2.79,7.0,97,15,61.26
3.01,4.43,74,16,57.28
2.5,7.61,79,24,59.93
5.64,5.93,70,23,73.28
7.29,5.56,62,15,73.9
3.14,7.46,62,22,64.38
7.84,5.46,70,19,83.5
1.89,7.81,68,22,53.82
2.43,6.43,85,22,51.77
4.35,6.85,87,21,74.99
1.37,7.62,91,17,52.16
4.32,4.99,70,16,57.36
1.96,7.11,96,20,54.12
0.0,9.15,89,17,51.26
0.0,7.65,54,18,47.1
2.35,7.98,99,17,56.3
3.84,7.76,97,24,76.57
0.28,4.69,77,20,45.81
3.36,7.61,52,22,54.14
3.36,6.95,86,24,55.12
2.66,6.27,99,24,68.41
1.15,9.79,63,17,62.32
3.48,4.0,79,24,50.98
2.72,10.0,69,16,53.6
4.96,8.36,55,17,71.89
0.41,8.31,98,18,61.84
3.23,4.77,79,22,55.86
0.46,6.48,67,15,42.98
2.53,4.0,85,23,57.28
0.81,5.91,74,24,41.64
1.17,6.44,100,22,60.76
2.99,7.49,87,15,69.76
1.87,6.38,97,18,53.1
5.93,6.68,91,19,72.14
5.36,7.08,90,23,81.52
4.61,5.41,79,22,66.69
4.57,6.4,81,22,74.68
3.26,5.65,72,16,55.87
5.61,6.11,69,23,62.41
2.41,6.5,77,21,52.59
7.24,7.4,62,24,72.66
1.12,6.63,71,17,44.63
0.74,6.38,52,15,37.96
0.21,5.2,57,24,36.13
0.56,4.87,68,17,35.89
0.0,6.88,93,20,48.35
3.43,6.44,68,24,57.87
4.71,7.58,86,22,75.47
3.07,4.51,50,24,46.13
0.23,8.03,80,21,44.79
2.06,5.87,86,20,60.47
4.68,6.37,96,16,78.3
2.32,7.34,71,15,43.9
1.4,5.96,67,19,49.19
0.0,4.77,91,22,40.55
2.15,6.53,53,23,49.59
1.59,5.04,58,22,38.64
2.83,4.72,95,20,70.0
3.95,7.97,90,20,72.4
2.44,7.04,71,24,47.32
3.37,7.4,92,24,65.74
3.94,7.85,100,22,71.37
0.54,7.47,96,15,53.51
6.77,5.97,63,23,58.06
1.52,6.7,88,21,60.82
4.03,5.85,50,18,60.26
0.73,7.5,63,24,45.5
3.22,5.04,73,19,65.82
3.29,5.69,72,16,59.79
6.32,7.08,61,17,68.65
2.53,6.61,52,19,47.33
5.6,5.4,94,24,81.03
3.58,4.0,89,19,66.68
6.7,6.4,67,17,72.08
0.0,6.91,90,19,49.22
3.96,7.86,87,16,68.18
0.0,6.41,51,23,37.27
2.88,8.38,80,17,61.52
5.04,8.2,83,24,73.67
5.89,6.67,93,21,87.3
4.48,7.98,82,20,76.46
2.42,8.24,68,19,62.76
4.09,6.24,50,21,48.06
8.03,6.21,100,19,88.17
3.15,7.32,93,20,57.15
4.92,6.43,71,21,67.84
2.14,9.85,87,20,60.81
5.14,8.06,56,22,57.0
4.81,7.44,96,17,74.9
1.78,6.16,56,18,47.14
4.55,9.56,75,23,79.43
4.65,6.31,61,19,65.41
4.48,7.6,81,18,70.4
2.92,8.61,84,17,62.63
5.46,7.68,90,15,83.5
1.13,5.95,59,22,43.31
3.02,7.32,65,21,58.39
3.22,6.69,50,24,48.89
5.34,6.13,58,22,60.93
1.07,8.98,63,21,49.33
3.48,7.52,72,24,63.98
2.02,8.18,98,20,71.08
3.22,6.26,53,20,43.7
3.78,6.47,63,18,53.86
0.44,6.9,61,19,42.94
5.53,7.56,53,24,57.06
3.86,9.21,99,22,86.98
1.28,6.94,66,18,46.54
2.32,5.3,92,18,62.59
5.99,7.94,75,17,76.83
3.83,6.26,84,22,63.41
1.07,6.71,61,16,42.63
1.43,9.42,88,24,64.96
4.25,6.13,69,16,66.13
4.49,6.21,59,18,58.14
3.73,5.93,87,15,73.8
2.42,5.56,80,17,62.73
4.62,6.08,100,22,81.03
2.38,7.36,74,24,54.31
1.29,4.0,50,22,35.32
6.17,5.79,75,19,71.2
3.98,6.54,62,16,54.33
1.43,8.47,57,16,42.01
3.27,9.95,83,18,61.61
3.05,5.56,77,23,58.97
2.3,7.87,69,20,52.06
3.47,7.82,56,18,56.29
1.14,6.9,56,18,45.68
4.75,9.63,72,17,71.16
2.99,6.82,91,22,73.61
0.0,8.0,76,15,46.59
2.54,8.7,79,24,60.7
1.77,6.72,60,16,41.56
0.0,5.36,51,17,31.88
2.69,4.58,94,21,64.93
5.07,7.67,71,22,74.32
2.78,7.04,74,19,57.47
4.42,6.42,53,20,67.22
3.02,7.13,55,22,54.1
2.09,8.58,57,21,60.49
1.54,8.15,62,23,53.42
0.43,6.48,52,17,27.52
4.85,6.8,82,19,61.55
4.46,8.62,86,15,70.75
2.44,6.04,90,17,61.17
0.0,6.75,64,19,40.09
3.94,8.23,58,21,65.3
1.19,8.43,61,21,36.27
3.29,6.85,100,20,68.93
0.0,10.0,85,17,55.13
3.18,7.21,71,18,60.76
2.74,5.05,54,19,49.56
0.0,8.66,88,22,48.68
6.24,6.21,54,22,61.81
2.35,8.02,77,24,60.42
2.48,7.29,83,21,68.38
4.07,10.0,96,21,75.19
2.9,6.4,61,21,52.0
3.73,6.96,71,15,62.79
0.71,6.9,63,18,40.95
2.72,6.65,58,18,57.46
0.0,5.18,56,18,38.54
2.52,5.08,64,16,55.19
5.89,6.5,94,20,78.05
0.0,7.04,93,21,52.01
2.3,6.36,99,21,69.11
0.0,6.41,85,21,46.79
3.02,7.98,57,24,52.83
3.93,6.32,70,20,51.01
3.77,4.83,60,24,55.9
1.8,7.92,69,21,53.75
0.0,8.63,75,19,41.98
0.52,7.83,74,23,58.57
5.51,6.37,64,15,59.8
4.76,6.77,57,21,63.1
2.82,6.42,90,21,64.21
3.32,7.66,70,23,62.62
0.94,8.78,62,16,52.71
5.58,7.6,65,22,75.01
1.56,6.95,86,19,49.82
3.87,7.09,82,23,75.6
0.34,7.61,64,22,43.14
2.64,9.73,57,23,59.55
5.5,8.17,100,18,77.92
1.11,5.55,83,23,53.76
4.5,5.55,60,23,53.47
0.84,9.7,92,18,63.32
1.2,8.08,51,19,37.75
2.98,5.45,51,21,40.48
4.94,5.71,68,19,70.46
2.4,6.95,71,21,59.21
4.24,8.7,64,19,62.26
5.29,5.63,60,21,59.02
1.46,7.55,51,17,30.53
0.0,9.08,61,22,48.03
2.29,5.89,84,15,60.67
5.55,6.49,61,20,61.26
1.37,10.0,69,16,49.46
5.03,6.84,51,16,60.02
2.47,6.84,79,19,54.57
6.51,7.13,82,15,70.63
7.49,6.83,52,24,73.33
5.06,8.18,68,22,64.55
0.0,7.37,61,15,35.28
0.0,6.23,82,19,43.18
3.12,6.15,63,22,53.19
4.81,7.47,72,20,65.31
4.0,5.21,82,16,58.15
1.55,8.28,98,19,68.18
0.03,10.0,86,23,41.35
4.86,7.32,56,24,64.87
6.72,4.82,78,19,68.19
1.66,6.81,74,15,49.36
4.65,6.31,80,17,60.28
8.21,7.16,87,24,92.48
2.62,6.96,98,21,69.49
2.66,8.89,86,23,62.41
4.12,6.27,59,17,57.83
2.43,6.92,71,22,58.18
5.68,5.63,93,21,88.01
2.19,7.51,58,15,58.68
2.94,8.31,89,18,72.29
0.12,9.08,71,23,50.38
2.53,7.58,100,16,71.41
0.98,7.39,95,21,58.1
3.69,5.85,58,24,49.86
0.0,4.0,50,23,18.23
4.96,6.16,66,17,64.06
1.26,6.64,56,21,47.48
6.57,6.82,55,20,60.79
5.74,4.6,93,16,74.84
4.07,6.58,68,22,53.35
0.0,4.0,73,24,48.14
1.74,5.07,99,15,58.38
1.21,8.64,88,24,50.95
1.46,8.97,96,20,59.53
6.15,6.77,78,21,79.73
2.69,7.36,99,23,71.83
1.68,7.59,70,16,50.96
1.5,7.59,74,18,49.95
1.94,5.66,100,16,64.24
4.07,7.24,59,15,50.81
0.0,7.39,92,20,37.14
3.2,7.34,84,17,64.56
3.85,5.86,59,21,50.37
0.0,5.29,53,21,28.31
0.16,6.7,95,15,51.79
2.9,4.94,60,21,44.42
5.88,5.8,87,21,71.81
5.41,7.7,91,22,72.6
1.78,8.61,90,21,63.5
5.82,8.29,59,24,69.94
2.36,6.01,97,23,54.16
2.34,6.4,62,24,58.74
3.19,6.29,70,21,57.82
4.68,7.3,51,20,60.84
1.78,5.69,63,15,43.95
2.2,7.07,57,22,46.76
0.5,6.83,91,24,49.08
3.7,7.89,78,24,68.52
4.87,5.31,66,20,62.28
4.99,5.56,77,23,71.74
0.27,7.45,74,18,31.29
2.23,7.19,80,24,57.44
5.49,5.27,53,22,54.32
3.46,4.2,52,20,45.38
3.07,7.78,68,15,63.04
3.02,7.18,90,15,61.08
4.08,6.63,70,20,54.5
3.57,7.77,78,15,66.17
1.85,5.79,59,21,42.53
4.76,7.62,84,22,65.87
0.59,8.61,67,16,49.81
5.64,7.58,67,24,70.73
1.21,4.98,70,24,44.49
4.1,8.34,82,20,63.2
2.67,5.33,56,22,44.54
2.05,6.47,62,22,46.81
5.72,7.63,75,22,76.49
4.49,8.11,53,20,57.98
2.88,6.93,95,16,67.28
6.49,10.0,62,19,79.97
4.96,5.2,67,22,80.93
1.39,10.0,53,19,40.86
0.0,4.33,71,24,30.29
3.21,6.94,80,20,58.84
5.77,4.68,62,15,76.66
4.22,7.49,50,24,58.79
6.15,4.69,79,18,79.35
1.8,7.68,68,24,45.83
2.77,6.06,61,21,46.93
2.81,4.39,58,24,50.71
3.48,9.27,77,16,65.43
4.53,8.03,82,15,78.48
6.26,7.75,82,17,82.62
6.69,9.74,82,23,87.38
6.33,6.33,100,18,85.51
4.34,8.81,99,15,77.56
2.32,5.47,78,22,48.38
3.45,7.01,56,20,41.58
4.31,4.56,76,21,49.7
3.27,9.8,98,23,80.16
1.17,6.65,79,18,47.82
2.08,5.87,96,20,68.5
4.74,9.87,56,21,74.71
2.51,7.96,56,19,60.34
3.05,5.86,98,22,78.8
2.84,6.16,88,24,68.08
1.22,7.31,60,20,39.39
2.66,10.0,69,15,65.83
2.08,5.78,56,20,38.5
1.62,8.08,51,20,38.35
0.88,6.55,97,23,51.34
2.8,8.44,58,23,58.25
4.24,6.54,64,16,60.55
5.24,6.77,92,24,75.48
0.21,4.55,73,24,34.94
6.21,6.78,65,15,81.99
3.59,10.0,62,24,62.24
0.75,5.33,65,20,45.23
2.19,6.67,53,21,43.66
0.0,7.04,96,21,56.67
0.0,8.52,85,20,36.56
6.44,7.06,54,21,68.12
1.6,8.91,63,15,47.62
4.07,5.74,98,24,57.78
2.78,6.99,96,20,60.52
3.04,6.92,99,21,72.7
3.74,6.13,54,24,58.5
0.0,7.02,69,15,41.67
5.64,5.84,67,19,61.71
2.8,8.18,98,16,62.64
1.99,5.05,69,19,44.49
3.94,4.68,95,18,66.39
1.56,5.5,82,16,46.15
3.42,7.1,82,20,57.71
2.67,7.66,61,17,53.2
4.42,6.02,50,22,49.9
2.57,7.82,74,18,53.6
0.94,4.0,69,23,34.04
3.72,6.42,76,23,71.31
2.46,6.19,53,19,39.0
0.0,7.51,60,21,43.12
3.4,8.54,91,18,65.54
1.93,10.0,89,15,61.29
3.69,6.83,57,20,55.64
1.29,4.0,76,19,40.07
0.59,7.12,59,21,42.49
5.36,6.62,77,17,68.8
4.69,7.59,62,19,56.62
2.99,7.69,81,22,59.96
3.88,6.11,94,17,63.35
4.62,5.13,77,22,64.44
2.98,7.95,78,17,68.12
0.58,8.77,79,22,52.85
3.6,7.92,55,18,56.64
5.0,7.79,87,16,75.58
4.19,7.15,77,18,61.95
3.12,8.4,68,15,59.37
4.13,5.24,81,22,68.18
2.55,7.56,77,15,59.57
5.09,5.77,57,24,54.94
5.69,4.84,75,19,73.61
0.41,8.74,76,22,48.76
5.23,5.9,57,16,59.07
7.47,7.6,93,21,85.24
4.05,8.18,93,16,66.76
4.97,7.14,91,24,82.02
1.71,5.71,56,24,33.53
1.99,9.27,100,18,68.1
2.58,4.54,56,23,39.99
2.2,7.31,51,23,40.9
0.38,9.98,55,21,48.11
2.65,9.39,51,23,57.9
4.67,5.97,54,24,57.52
0.4,8.9,97,24,58.53
3.36,5.57,88,22,58.65
3.3,5.85,96,23,68.44
2.4,7.86,65,18,46.1
3.99,5.45,61,21,57.58
3.81,5.85,59,19,42.61
2.26,6.6,55,21,54.83
5.12,7.33,55,20,62.97
4.12,6.76,94,22,71.2
6.15,6.52,62,17,67.16
2.87,5.57,61,22,55.36
2.36,4.09,50,22,36.41
2.58,5.3,65,22,51.48
5.36,8.83,63,24,73.99
2.7,7.35,74,16,56.66
2.82,7.42,73,20,55.02
6.92,8.45,53,23,70.67
0.31,6.59,82,18,39.91
3.71,8.13,86,19,68.72
2.88,8.16,97,17,81.66
2.5,5.84,91,24,59.68
1.09,8.17,63,21,50.53
1.67,7.47,50,18,45.02
2.18,5.72,57,24,46.85
3.99,9.71,71,16,76.04
4.7,8.32,80,21,87.87
0.0,5.51,89,21,49.65
0.6,6.91,54,16,34.57
4.1,6.03,78,18,63.1
4.26,9.25,62,24,60.73
0.07,5.89,69,16,37.43
4.75,7.86,64,15,67.13
2.97,5.64,61,24,49.74
4.49,9.53,70,20,65.99
1.3,7.95,57,23,45.12
0.22,7.9,100,19,51.77
2.38,7.42,90,22,59.18
2.47,7.1,58,23,49.84
2.36,4.0,72,16,45.07
2.22,7.86,62,20,52.09
6.39,7.17,77,20,77.09
0.0,5.06,91,18,50.96
1.31,7.32,72,17,40.16
2.16,5.22,58,18,46.34
3.05,9.6,78,23,67.07
4.42,7.1,98,22,69.8
4.73,7.01,95,19,64.68
5.15,7.88,54,16,64.75
3.96,6.33,61,21,65.91
0.0,6.76,51,16,40.47
0.0,6.42,57,22,38.87
5.29,5.81,82,19,66.69
5.17,5.92,64,21,58.03
4.27,6.96,70,23,64.69
1.36,6.5,52,20,47.81
2.35,7.49,66,18,46.42
2.2,5.09,74,15,49.67
0.95,5.61,82,24,38.52
3.52,7.14,90,22,69.66
7.31,8.08,61,21,70.54
2.01,6.6,80,15,56.94
5.59,6.59,87,18,82.16
1.23,7.0,89,19,63.7
0.0,7.14,98,18,55.67
4.97,9.42,69,24,68.6
2.56,7.79,100,22,64.66
5.54,6.06,82,18,72.73
5.94,7.37,80,21,73.18
2.44,7.26,84,19,57.25
5.69,4.64,92,15,71.17
1.25,4.0,90,16,54.16
1.22,8.08,87,19,47.79
5.14,5.58,63,18,70.36
0.0,8.74,76,20,55.54
3.0,7.54,71,18,63.81
5.5,6.87,91,23,85.8
5.63,6.83,63,19,65.25
2.13,6.46,90,18,56.75
5.02,4.97,65,17,58.71
0.75,6.33,76,16,53.59
1.67,4.86,60,19,48.49
3.46,8.32,70,24,54.9
3.76,7.7,50,16,57.56
0.9,6.7,50,17,35.42
6.72,7.47,56,21,68.23
0.0,8.55,92,15,56.26
3.11,4.0,78,17,45.91
3.39,6.69,56,16,55.91
0.0,6.63,93,16,52.68
5.65,7.01,75,23,70.25
1.52,6.11,61,18,40.75
3.2,7.94,68,18,51.03
3.66,8.38,97,21,83.13
0.09,6.75,57,19,44.76
0.86,8.52,94,17,50.14
6.13,7.67,79,19,77.3
2.87,6.59,93,19,63.76
0.0,7.25,93,24,50.09
2.4,6.48,73,20,58.23
2.93,7.78,56,18,44.82
3.44,8.55,63,18,58.32
0.0,8.27,61,21,41.14
2.94,7.43,68,23,58.3
1.33,8.87,94,18,58.9
